mp-pt	item-code	treatment-of-code
lanthanum	9403X	5491
sunitinib	9420T	7466
sunitinib	9419R	9210
methylprednisolone	10853F	6218
trametinib	10385N	6752
buprenorphine	10755C	10755
buprenorphine	10755C	10748
buprenorphine	10755C	10752
cobimetinib	11074W	10033
aripiprazole	10219W	4246
vemurafenib	11076Y	10157
peginterferon beta-1a	10212L	7695
methylprednisolone	10845T	6231
ezetimibe (&) rosuvastatin	10204C	7958
oxycodone + naloxone	10776E	10755
oxycodone + naloxone	10776E	10748
oxycodone + naloxone	10776E	10752
dapagliflozin + metformin	10516L	5631
dapagliflozin + metformin	10516L	5739
dapagliflozin + metformin	10516L	5798
dapagliflozin + metformin	10516L	5657
dapagliflozin + metformin	10516L	7492
empagliflozin + metformin	10633P	5966
empagliflozin + metformin	10633P	5798
empagliflozin + metformin	10633P	5657
empagliflozin + metformin	10633P	7492
fusidate	10782L	6133
zoledronic acid	10571J	5710
itraconazole	10732W	6022
itraconazole	10732W	6005
itraconazole	10732W	6057
itraconazole	10732W	5988
itraconazole	10732W	6037
itraconazole	10732W	6016
itraconazole	10732W	6035
brivaracetam	11339T	10210
buprenorphine	10770W	10755
buprenorphine	10770W	10748
buprenorphine	10770W	10752
betamethasone dipropionate	10821M	6218
dapagliflozin + metformin	10515K	5631
dapagliflozin + metformin	10515K	5739
dapagliflozin + metformin	10515K	5798
dapagliflozin + metformin	10515K	5657
dapagliflozin + metformin	10515K	7492
netupitant + palonosetron	10731T	5991
netupitant + palonosetron	10731T	5994
netupitant + palonosetron	10731T	6937
netupitant + palonosetron	10731T	6879
trastuzumab	10803N	9462
sucroferric oxyhydroxide	10250L	5491
tiotropium + olodaterol	10557P	7798
perampanel	11407J	7789
brivaracetam	11356Q	10210
rituximab	10709P	6011
methylprednisolone	10855H	6246
mometasone	10827W	6232
peginterferon beta-1a	10220X	6860
methotrexate	11268C	7488
methotrexate	11268C	7518
peginterferon beta-1a	10218T	7695
methylprednisolone	10856J	6232
betamethasone dipropionate	10816G	6263
methotrexate	11295L	7488
methotrexate	11295L	7518
ezetimibe + atorvastatin	10377E	7957
methotrexate	11283W	7488
methotrexate	11283W	7518
empagliflozin + metformin	10639Y	5953
empagliflozin + metformin	10639Y	7498
perampanel	10159Q	4658
dapagliflozin + metformin	10510E	5631
dapagliflozin + metformin	10510E	5739
dapagliflozin + metformin	10510E	5798
dapagliflozin + metformin	10510E	5657
dapagliflozin + metformin	10510E	7492
mometasone	10814E	6246
mometasone	10793C	6263
methylprednisolone	10848Y	6232
ezetimibe + atorvastatin	10376D	7957
mometasone	10818J	6263
buprenorphine	10756D	10755
buprenorphine	10756D	10748
buprenorphine	10756D	10752
lenvatinib	10965D	6604
lenvatinib	10965D	6578
methylprednisolone	10842P	6232
perampanel	10151G	4658
methylprednisolone	10836H	6246
perampanel	10160R	4658
aripiprazole	10224D	4246
betamethasone valerate	10808W	6218
cobimetinib	11075X	6803
ezetimibe + atorvastatin	10392Y	7958
sorafenib	10242C	7487
methylprednisolone	10834F	6263
trastuzumab	10682F	10212
betamethasone dipropionate	10813D	6218
methylprednisolone	10851D	6263
aclidinium + formoterol (eformoterol)	10565C	7798
lenvatinib	10952K	6604
lenvatinib	10952K	6578
betamethasone dipropionate	10795E	6232
ezetimibe (&) rosuvastatin	10201X	7957
flucloxacillin	10788T	6169
brivaracetam	11328F	10210
ezetimibe (&) rosuvastatin	10207F	7957
betamethasone dipropionate	10824Q	6232
oxycodone + naloxone	10758F	10755
oxycodone + naloxone	10758F	10748
oxycodone + naloxone	10758F	10752
methylprednisolone	10840M	6246
empagliflozin + metformin	10626G	5966
empagliflozin + metformin	10626G	5798
empagliflozin + metformin	10626G	5657
empagliflozin + metformin	10626G	7492
cefalexin	10778G	6188
methotrexate	11275K	7488
methotrexate	11275K	7518
betamethasone valerate	10807T	6263
methylprednisolone	10835G	6218
methylprednisolone	10844R	6218
betamethasone dipropionate	10823P	6231
betamethasone valerate	10799J	6232
ezetimibe (&) rosuvastatin	10208G	7957
trimethoprim + sulfamethoxazole	10784N	6201
rivastigmine	10538P	10108
betamethasone valerate	10810Y	6231
sunitinib	10504W	9210
mometasone	10828X	6218
empagliflozin + metformin	10627H	5966
empagliflozin + metformin	10627H	5798
empagliflozin + metformin	10627H	5657
empagliflozin + metformin	10627H	7492
sacubitril + valsartan	11131W	6915
ezetimibe + atorvastatin	10393B	7957
erythromycin	10780J	6160
mometasone	10791Y	6231
vemurafenib	11081F	6013
methotrexate	11288D	7488
methotrexate	11288D	7518
apixaban	10414D	4098
apixaban	10414D	5098
erythromycin ethylsuccinate	10789W	6160
methylprednisolone	10839L	6263
betamethasone dipropionate	10801L	6263
trastuzumab	10798H	9353
buprenorphine	10746N	10755
buprenorphine	10746N	10748
buprenorphine	10746N	10752
mometasone	10812C	6232
sacubitril + valsartan	11123K	6915
betamethasone dipropionate	10800K	6246
empagliflozin + metformin	10650M	5953
empagliflozin + metformin	10650M	7498
methylprednisolone	10833E	6231
exenatide	10888C	6519
exenatide	10888C	6505
methylprednisolone	10838K	6246
sunitinib	10459L	7466
mometasone	10809X	6246
empagliflozin + metformin	10640B	5953
empagliflozin + metformin	10640B	7498
glatiramer acetate	10416F	7695
glatiramer acetate	10416F	6860
zoledronic acid	10555M	6308
zoledronic acid	10555M	6313
zoledronic acid	10555M	6318
methylprednisolone	10846W	6232
sunitinib	10473F	7471
brivaracetam	11349H	10251
betamethasone dipropionate	10820L	6246
methylprednisolone	10852E	6263
methylprednisolone	10852E	6218
betamethasone dipropionate	10802M	6231
rituximab	10742J	6161
mometasone	10815F	6218
empagliflozin + metformin	10677Y	5966
empagliflozin + metformin	10677Y	5798
empagliflozin + metformin	10677Y	5657
empagliflozin + metformin	10677Y	7492
betamethasone valerate	10794D	6246
sacubitril + valsartan	11122J	6915
methylprednisolone	10830B	6231
oxycodone + naloxone	10757E	10755
oxycodone + naloxone	10757E	10748
oxycodone + naloxone	10757E	10752
empagliflozin + metformin	10649L	5953
empagliflozin + metformin	10649L	7498
dicloxacillin	10790X	6188
methylprednisolone	10843Q	6231
rituximab	10703H	7400
lacosamide	10293R	8815
mometasone	10792B	6231
rituximab	10719E	7399
olaparib	11050N	10937
brivaracetam	11334M	10210
etanercept	11202N	9156
tenofovir disoproxil + emtricitabine	11276L	7580
methotrexate	11526P	7488
methotrexate	11526P	7518
etanercept	11225T	8887
etanercept	11225T	8955
cabozantinib	11360X	8572
brexpiprazole	11189X	4246
sunitinib	11253G	7430
empagliflozin + linagliptin	11310G	7556
empagliflozin	11281R	7528
paliperidone	11094X	6832
empagliflozin	11314L	7528
everolimus	11257L	7432
linagliptin + metformin	11294K	7507
cabozantinib	11369J	8572
fosaprepitant	11107N	6886
fosaprepitant	11107N	6891
fosaprepitant	11107N	6887
fosaprepitant	11107N	6852
everolimus	11262R	7432
etanercept	11221N	8887
etanercept	11221N	8955
empagliflozin + linagliptin	11269D	7524
etanercept	11217J	9481
tolvaptan	11600M	8288
saxagliptin	11311H	7541
oxycodone + naloxone	11111T	10755
oxycodone + naloxone	11111T	10748
oxycodone + naloxone	11111T	10752
stiripentol	12107F	10632
budesonide + formoterol (eformoterol)	11301T	7979
budesonide + formoterol (eformoterol)	11301T	10121
ertugliflozin	11571B	7506
ertugliflozin	11571B	7495
cabozantinib	11371L	8572
lapatinib	11251E	9360
mometasone	10805Q	6263
mometasone	10805Q	6218
empagliflozin + linagliptin	11303X	7524
sitagliptin	11576G	7541
fluconazole	11139G	6956
fluconazole	11139G	6978
fluconazole	11139G	6974
fluconazole	11139G	6969
fluconazole	11139G	6965
fluconazole	11139G	7897
saxagliptin + dapagliflozin	11305B	7556
paliperidone	11072R	6832
paliperidone	11066K	6832
everolimus	11258M	7431
fluticasone furoate + vilanterol	11124L	4711
fluticasone furoate + vilanterol	11124L	10121
mometasone	10826T	6246
ertugliflozin + metformin	11584Q	7498
ertugliflozin + sitagliptin	11561L	7524
mometasone	10804P	6231
saxagliptin + metformin	11312J	7507
stiripentol	12088F	10632
dapagliflozin + metformin	11313K	7498
perampanel	11428L	7789
pazopanib	11261Q	7423
budesonide + formoterol (eformoterol)	11273H	7970
erlotinib	11260P	7446
olaparib	11503K	10937
dulaglutide	11364D	7645
dulaglutide	11364D	5478
perampanel	11436X	7815
cabozantinib	11374P	7631
ertugliflozin	11577H	7528
cabozantinib	11367G	7631
methotrexate	11525N	7488
methotrexate	11525N	7518
erlotinib	11263T	7446
cladribine	11604R	10170
cladribine	11604R	10171
ertugliflozin + metformin	11581M	5631
ertugliflozin + metformin	11581M	8249
ertugliflozin + metformin	11581M	7492
oxycodone + naloxone	11102H	10755
oxycodone + naloxone	11102H	10748
oxycodone + naloxone	11102H	10752
sunitinib	11250D	7430
everolimus	11267B	7431
saxagliptin + metformin	11299Q	7507
linagliptin + metformin	11274J	7507
ertugliflozin + metformin	11575F	5631
ertugliflozin + metformin	11575F	8249
ertugliflozin + metformin	11575F	7492
sitagliptin	11573D	7541
brivaracetam	11358T	10330
guanfacine	11441E	9034
guanfacine	11441E	9031
guanfacine	11441E	8544
guanfacine	11441E	8585
etanercept	11211C	7276
guanfacine	11451Q	9034
guanfacine	11451Q	9031
guanfacine	11451Q	8544
guanfacine	11451Q	8585
empagliflozin + linagliptin	11298P	7556
perampanel	11418Y	7789
guanfacine	11452R	9034
guanfacine	11452R	9031
guanfacine	11452R	8544
guanfacine	11452R	8585
ertugliflozin + sitagliptin	11579K	7556
dapagliflozin + metformin	11300R	7498
everolimus	11254H	7431
tenofovir disoproxil + emtricitabine	11306C	7580
gefitinib	11264W	7447
ertugliflozin + sitagliptin	11578J	7556
brexpiprazole	11188W	4246
dapagliflozin + metformin	11270E	7498
medium chain triglycerides	11444H	6147
medium chain triglycerides	11444H	6191
lenvatinib	11638M	10991
lenvatinib	11638M	8584
brexpiprazole	11190Y	4246
sunitinib	11256K	7430
cladribine	11603Q	10170
cladribine	11603Q	10171
olaparib	11539H	10937
brivaracetam	11350J	10208
saxagliptin + metformin	11285Y	7507
linagliptin	11280Q	7541
fluticasone furoate + umeclidinium + vilanterol	11379X	10167
mometasone	10819K	6232
ertugliflozin	11570Y	7528
brivaracetam	11338R	10208
etanercept	11216H	9156
fluticasone furoate + vilanterol	11129R	4731
ertugliflozin + metformin	11563N	5631
ertugliflozin + metformin	11563N	8249
ertugliflozin + metformin	11563N	7492
saxagliptin + dapagliflozin	11286B	7524
pazopanib	11252F	7423
stiripentol	12106E	10632
linagliptin + metformin	11282T	7507
perfluorohexyloctane	11439C	6172
ertugliflozin + sitagliptin	11583P	7524
trifluridine + tipiracil	11524M	10309
trifluridine + tipiracil	11524M	8183
cladribine	11611D	10170
cladribine	11611D	10171
brexpiprazole	11184P	4246
ursodeoxycholic acid	11180K	9032
saxagliptin	11292H	7541
ertugliflozin + metformin	11568W	5631
ertugliflozin + metformin	11568W	8249
ertugliflozin + metformin	11568W	7492
trifluridine + tipiracil	11507P	10309
trifluridine + tipiracil	11507P	8183
stiripentol	12103B	10632
ertugliflozin + metformin	11564P	7498
etanercept	11218K	7276
paliperidone	11085K	6832
ertugliflozin + metformin	11562M	7498
ertugliflozin	11585R	7506
ertugliflozin	11585R	7495
ertugliflozin + metformin	11569X	7498
cabozantinib	11368H	7631
etanercept	11215G	9481
guanfacine	11440D	9034
guanfacine	11440D	9031
guanfacine	11440D	8544
guanfacine	11440D	8585
sunitinib	11266Y	7430
sitagliptin	11572C	7541
tenofovir disoproxil + emtricitabine	11296M	7580
perampanel	11409L	7789
brivaracetam	11357R	10208
erlotinib	11259N	7446
perampanel	11429M	7789
brivaracetam	11327E	10208
dapagliflozin	11291G	7528
perfluorohexyloctane	11446K	6172
balsalazide	11351K	7621
imatinib	11789L	9207
binimetinib	11948W	10328
risperidone	11872W	10020
risperidone	11877D	10020
budesonide + formoterol (eformoterol)	12101X	10538
budesonide + formoterol (eformoterol)	12093L	10538
imatinib	11756R	9243
apomorphine	12137T	10844
rivaroxaban	12192Q	10992
omeprazole	11683X	8776
imatinib	11763D	9296
sitagliptin + metformin	11566R	7507
imatinib	11764E	9209
cefalexin	11963P	10412
encorafenib	11937G	10271
evolocumab	11986W	10385
evolocumab	11986W	10377
beclometasone + formoterol (eformoterol)	12183F	11057
carmellose sodium	11852T	6172
imatinib	11870R	10026
imatinib	11870R	10048
imatinib	11880G	10026
imatinib	11880G	10048
budesonide + formoterol (eformoterol)	12041R	10464
imatinib	11777W	9206
amoxicillin	11947T	10402
rivaroxaban	11633G	4132
methotrexate	11509R	7488
methotrexate	11509R	7518
sitagliptin + metformin	11586T	7507
amoxicillin + clavulanic acid	11933C	10413
semaglutide	12075M	5500
semaglutide	12075M	5478
budesonide + formoterol (eformoterol)	12029D	10464
evolocumab	11977J	10388
encorafenib	11949X	6013
imatinib	11781C	9296
mupirocin	11822F	6647
pantoprazole	11678P	8776
methotrexate	11508Q	7488
methotrexate	11508Q	7518
semaglutide	12080T	5500
semaglutide	12080T	5478
budesonide + formoterol (eformoterol)	12082X	10538
imatinib	11785G	9206
binimetinib	11961M	10306
rivaroxaban	12197Y	11013
imatinib	11776T	9209
siponimod	12172P	10955
siponimod	12172P	10953
siponimod	12172P	10956
esomeprazole	11687D	8776
ezetimibe	11408K	7990
everolimus	11598K	8262
budesonide + formoterol (eformoterol)	12089G	10538
imatinib	11758W	9296
calcium	11726E	4586
amoxicillin	11998L	10404
apomorphine	12133N	10844
everolimus	11607X	8262
isotretinoin	11921K	5224
sevelamer	11856B	5491
budesonide + formoterol (eformoterol)	12100W	10538
imatinib	11779Y	9206
levodopa + carbidopa	11919H	10197
sitagliptin + metformin	11574E	7507
imatinib	11778X	9208
imatinib	11875B	10026
imatinib	11875B	10048
encorafenib	11954E	6013
budesonide + formoterol (eformoterol)	12042T	10482
imatinib	11765F	9243
omeprazole	11677N	8776
rituximab	11988Y	10227
hypromellose	11842G	6172
imatinib	11788K	9278
imatinib	11769K	9243
methotrexate	11544N	7488
methotrexate	11544N	7518
imatinib	11757T	9243
roxithromycin	12001P	10404
imatinib	11770L	9296
tiotropium	11629C	8606
pantoprazole	11681T	8776
cefalexin	11934D	10410
encorafenib	11938H	10271
evolocumab	11972D	10388
imatinib	11780B	9207
sitagliptin + metformin	11582N	7507
imatinib	11878E	10026
imatinib	11878E	10048
sitagliptin + metformin	11580L	7507
hydroxychloroquine	12003R	10417
hydroxychloroquine	12003R	10418
imatinib	11787J	9208
imatinib	11753N	9209
protein formula with vitamins and minerals, and low in potassium, phosphorus, calcium, chloride and vitamin A	12191P	11070
imatinib	11771M	9207
siponimod	12158X	10955
siponimod	12158X	10953
siponimod	12158X	10956
evolocumab	11985T	10385
evolocumab	11985T	10377
imatinib	11782D	9295
isotretinoin	11716P	5224
apomorphine	12142C	10844
lansoprazole	11669E	8776
imatinib	11762C	9206
risperidone	11874Y	10020
isotretinoin	11621P	5224
imatinib	11752M	9295
imatinib	11783E	9207
tolvaptan	11593E	8288
lacosamide	11694L	8770
lacosamide	11694L	8815
lansoprazole	11697P	8776
tolvaptan	11596H	8288
imatinib	11775R	9295
roxithromycin	11993F	10404
amoxicillin + clavulanic acid	11941L	10405
hypromellose	11849P	6172
rabeprazole	11670F	8776
esomeprazole	11692J	8776
imatinib	11772N	9295
sodium phenylbutyrate	11865L	9993
sodium phenylbutyrate	11865L	9919
sodium phenylbutyrate	11865L	9888
fingolimod	11818B	10198
fingolimod	11818B	10093
imatinib	11786H	9209
everolimus	11608Y	8262
amoxicillin	12002Q	10416
carmellose sodium	11853W	6172
omeprazole	11682W	8776
trifluridine + tipiracil	12056M	10252
trifluridine + tipiracil	12056M	10310
risperidone	11869Q	10020
trifluridine + tipiracil	12033H	10252
trifluridine + tipiracil	12033H	10310
siponimod	12160B	10955
siponimod	12160B	10953
siponimod	12160B	10956
imatinib	11784F	9278
macrogol-3350 + sodium chloride + bicarbonate + potassium chloride	10127B	6171
methylnaltrexone	5424L	6180
macrogol-3350	5426N	6170
benzydamine	5385K	6197
metoclopramide	10762K	6084
macrogol-3350 + sodium chloride + bicarbonate + potassium chloride	5389P	6171
methylnaltrexone	5423K	6180
hyoscine butylbromide	5317W	6207
incobotulinumtoxinA	10983C	5220
clostridium botulinum type A toxin-haemagglutinin complex	11006G	5359
clostridium botulinum type A toxin-haemagglutinin complex	11006G	8822
clostridium botulinum type A toxin-haemagglutinin complex	11857C	9334
clostridium botulinum type A toxin-haemagglutinin complex	11857C	9871
clostridium botulinum type A toxin-haemagglutinin complex	11831Q	9334
clostridium botulinum type A toxin-haemagglutinin complex	11831Q	9871
clostridium botulinum type A toxin-haemagglutinin complex	12178Y	5178
clostridium botulinum type A toxin-haemagglutinin complex	12178Y	8929
clostridium botulinum type A toxin-haemagglutinin complex	12214W	5178
clostridium botulinum type A toxin-haemagglutinin complex	12214W	8929
incobotulinumtoxinA	10994P	5360
incobotulinumtoxinA	11005F	5222
clostridium botulinum type A toxin-haemagglutinin complex	11022D	5405
botulinum toxin type A	11000Y	5262
clostridium botulinum type A toxin-haemagglutinin complex	10981Y	5359
clostridium botulinum type A toxin-haemagglutinin complex	10981Y	8822
botulinum toxin type A	10997T	5221
botulinum toxin type A	11004E	6953
clostridium botulinum type A toxin-haemagglutinin complex	10988H	9547
clostridium botulinum type A toxin-haemagglutinin complex	10988H	9463
clostridium botulinum type A toxin-haemagglutinin complex	10982B	9547
clostridium botulinum type A toxin-haemagglutinin complex	10982B	9463
botulinum toxin type A	12017L	9547
botulinum toxin type A	12017L	10298
botulinum toxin type A	11016T	5408
clostridium botulinum type A toxin-haemagglutinin complex	10987G	5405
botulinum toxin type A	10998W	5359
botulinum toxin type A	10998W	8822
botulinum toxin type A	10993N	5409
botulinum toxin type A	11751L	9334
botulinum toxin type A	11751L	9271
botulinum toxin type A	10999X	5178
botulinum toxin type A	10999X	8929
botulinum toxin type A	11023E	5406
clostridium botulinum type A toxin-haemagglutinin complex	11007H	5406
clostridium botulinum type A toxin-haemagglutinin complex	11015R	5406
incobotulinumtoxinA	12087E	9547
incobotulinumtoxinA	12087E	10594
cetuximab	7223E	4794
cetuximab	7223E	4785
cladribine	7225G	6265
doxorubicin hydrochloride (as pegylated liposomal)	7230M	4786
doxorubicin hydrochloride (as pegylated liposomal)	7230M	4791
doxorubicin hydrochloride (as pegylated liposomal)	7230M	4787
cabazitaxel	7236W	4662
cetuximab	7240C	4788
arsenic	7241D	4793
arsenic	7241D	5997
cetuximab	7242E	4965
cetuximab	7242E	4908
bevacizumab	7243F	4594
bevacizumab	7243F	4587
bevacizumab	7243F	4939
bevacizumab	7243F	4968
fotemustine	7245H	6288
raltitrexed	7256X	6228
rituximab	7257Y	7400
rituximab	7258B	9542
rituximab	7259C	7399
bortezomib	7268M	7961
bortezomib	7268M	7974
bortezomib	7269N	7962
nanoparticle albumin-bound paclitaxel	7270P	6106
nanoparticle albumin-bound paclitaxel	7270P	6119
bortezomib	7271Q	7938
bortezomib	7271Q	7939
bortezomib	7272R	7960
cetuximab	7273T	4945
bortezomib	7275X	10338
bortezomib	7238Y	10455
bortezomib	7238Y	10426
bortezomib	7238Y	10454
bortezomib	7274W	7940
bortezomib	7274W	7941
ipilimumab	2638W	6562
ipilimumab	2638W	6585
ipilimumab	2638W	10122
eribulin	10140Q	4649
bevacizumab	10120P	4814
bevacizumab	10114H	4584
panitumumab	10069Y	5439
panitumumab	10069Y	5447
panitumumab	10508C	5526
panitumumab	10508C	5452
cetuximab	10265G	4912
nanoparticle albumin-bound paclitaxel	10150F	4657
rituximab	10193L	9451
pembrolizumab	10475H	10696
pembrolizumab	10424P	10705
obinutuzumab	10418H	11052
bendamustine	10763L	7972
bendamustine	10763L	7943
bendamustine	10763L	7944
bevacizumab	10885X	6337
bevacizumab	10885X	6353
arsenic	10699D	6018
nivolumab	10748Q	9298
nivolumab	10748Q	9214
nivolumab	11143L	10165
nivolumab	10775D	10155
eribulin	11199K	7258
eribulin	11199K	7280
nivolumab	11159H	9312
nivolumab	11157F	9299
nivolumab	11152Y	10117
nivolumab	11434T	9216
nivolumab	11425H	9252
obinutuzumab	12193R	11015
pembrolizumab	11632F	9921
pembrolizumab	11632F	9894
atezolizumab	11309F	10276
pembrolizumab	11492W	10681
pembrolizumab	11492W	10682
pembrolizumab	11492W	10697
atezolizumab	11297N	10297
avelumab	11679Q	8947
avelumab	11685B	10023
nivolumab	11532Y	10195
nivolumab	11532Y	10156
ipilimumab	11644W	8555
nivolumab	11627Y	8573
nivolumab	11626X	9321
atezolizumab	12163E	10915
atezolizumab	12167J	10939
atezolizumab	12155R	10917
atezolizumab	11792P	10182
atezolizumab	11792P	10125
bevacizumab	11791N	9346
bevacizumab	11791N	9347
durvalumab	11911X	10126
durvalumab	11911X	10145
durvalumab	11911X	10174
atezolizumab	11928T	10521
atezolizumab	11928T	10204
atezolizumab	11927R	10206
atezolizumab	11801D	10216
atezolizumab	11801D	9345
bevacizumab	11811P	9566
bevacizumab	11811P	9454
atezolizumab	12076N	10509
rituximab	11935E	10227
atezolizumab	11940K	10312
atezolizumab	11957H	10215
pembrolizumab	12121Y	10704
pembrolizumab	12121Y	10693
pembrolizumab	12121Y	10683
pembrolizumab	12122B	10689
pembrolizumab	12123C	10701
atezolizumab	12098R	10257
atezolizumab	12159Y	10972
bevacizumab	12166H	10959
cetuximab	4312Y	4794
cetuximab	4312Y	4785
cladribine	4326Q	6265
doxorubicin hydrochloride (as pegylated liposomal)	4364Q	4786
doxorubicin hydrochloride (as pegylated liposomal)	4364Q	4791
doxorubicin hydrochloride (as pegylated liposomal)	4364Q	4787
arsenic	4371C	4793
arsenic	4371C	5997
cabazitaxel	4376H	4662
bevacizumab	4400N	4594
bevacizumab	4400N	4587
bevacizumab	4400N	4939
bevacizumab	4400N	4968
cetuximab	4435K	4788
cetuximab	4436L	4965
cetuximab	4436L	4908
fotemustine	4437M	6288
nanoparticle albumin-bound paclitaxel	4531L	6106
nanoparticle albumin-bound paclitaxel	4531L	6119
raltitrexed	4610P	6228
rituximab	4613T	9542
rituximab	4614W	7400
rituximab	4615X	7399
bortezomib	4706Q	7961
bortezomib	4706Q	7974
bortezomib	4712B	7962
bortezomib	4713C	7938
bortezomib	4713C	7939
bortezomib	4725Q	7960
cetuximab	4731B	4945
bortezomib	4732C	10338
bortezomib	4403R	10455
bortezomib	4403R	10426
bortezomib	4403R	10454
bortezomib	4429D	7940
bortezomib	4429D	7941
ipilimumab	2641B	6562
ipilimumab	2641B	6585
ipilimumab	2641B	10122
eribulin	10144X	4649
bevacizumab	10115J	4814
bevacizumab	10121Q	4584
panitumumab	10082P	5439
panitumumab	10082P	5447
panitumumab	10513H	5526
panitumumab	10513H	5452
cetuximab	10262D	4912
nanoparticle albumin-bound paclitaxel	10165B	4657
rituximab	10179R	9451
pembrolizumab	10436G	10705
pembrolizumab	10493G	10696
obinutuzumab	10407R	11052
bendamustine	10760H	7972
bendamustine	10760H	7943
bendamustine	10760H	7944
bevacizumab	10881Q	6337
bevacizumab	10881Q	6353
arsenic	10691Q	6018
nivolumab	10745M	9298
nivolumab	10745M	9214
nivolumab	11158G	10165
nivolumab	10764M	10155
eribulin	11212D	7258
eribulin	11212D	7280
nivolumab	11150W	9312
nivolumab	11160J	9299
nivolumab	11153B	10117
nivolumab	11435W	9216
nivolumab	11411N	9252
obinutuzumab	12204H	11015
pembrolizumab	11646Y	9921
pembrolizumab	11646Y	9894
atezolizumab	11284X	10276
pembrolizumab	11494Y	10681
pembrolizumab	11494Y	10682
pembrolizumab	11494Y	10697
atezolizumab	11277M	10297
avelumab	11695M	8947
avelumab	11671G	10023
nivolumab	11543M	10195
nivolumab	11543M	10156
ipilimumab	11628B	8555
nivolumab	11636K	8573
nivolumab	11642R	9321
atezolizumab	12171N	10939
atezolizumab	12168K	10917
atezolizumab	11807K	10182
atezolizumab	11807K	10125
bevacizumab	11809M	9346
bevacizumab	11809M	9347
durvalumab	11915D	10126
durvalumab	11915D	10145
durvalumab	11915D	10174
atezolizumab	11929W	10521
atezolizumab	11929W	10204
atezolizumab	11926Q	10206
atezolizumab	11802E	10216
atezolizumab	11802E	9345
bevacizumab	11803F	9566
bevacizumab	11803F	9454
atezolizumab	11931Y	10312
atezolizumab	11930X	10215
atezolizumab	12164F	10915
atezolizumab	12078Q	10509
rituximab	11936F	10227
pembrolizumab	12119W	10704
pembrolizumab	12119W	10693
pembrolizumab	12119W	10683
pembrolizumab	12128H	10689
pembrolizumab	12124D	10701
atezolizumab	12097Q	10257
atezolizumab	12174R	10972
bevacizumab	12165G	10959
trastuzumab	10811B	9353
rituximab	11942M	10227
aprepitant	2550F	4223
aprepitant	2550F	4216
aprepitant	2550F	6464
aprepitant	2550F	6383
rituximab	10708N	7399
interferon alfa-2a	5946Y	6661
trastuzumab	10817H	9462
interferon alfa-2a	5949D	6661
interferon alfa-2a	5945X	6662
interferon alfa-2a	5945X	6678
rituximab	10720F	6011
fosaprepitant	11103J	6886
fosaprepitant	11103J	6891
fosaprepitant	11103J	6887
fosaprepitant	11103J	6852
interferon alfa-2a	5998Q	6678
rituximab	10710Q	6161
trastuzumab	10743K	10212
netupitant + palonosetron	10714X	5991
netupitant + palonosetron	10714X	5994
netupitant + palonosetron	10714X	6937
netupitant + palonosetron	10714X	6879
rituximab	10741H	7400
octreotide	11537F	8197
octreotide	11537F	8208
octreotide	11537F	8198
lamivudine	10348P	4512
lamivudine	10348P	4454
raltegravir	10286J	4512
raltegravir	10286J	4454
abacavir + lamivudine	10357D	4527
abacavir + lamivudine	10357D	4528
lamivudine	10315X	4993
lamivudine	10315X	5036
bictegravir + emtricitabine + tenofovir alafenamide	11649D	4522
bictegravir + emtricitabine + tenofovir alafenamide	11649D	4470
clozapine	11422E	4998
emtricitabine + tenofovir alafenamide	11099E	4512
emtricitabine + tenofovir alafenamide	11099E	4454
nevirapine	10303G	4526
nevirapine	10303G	4454
atazanavir	10321F	4512
atazanavir	10321F	4454
enfuvirtide	10365M	5014
raltegravir	10299C	4275
raltegravir	10299C	4274
abacavir + lamivudine	11246X	4527
abacavir + lamivudine	11246X	4528
saquinavir	10335Y	4512
saquinavir	10335Y	4454
abacavir	10356C	4512
abacavir	10356C	4454
darunavir	10367P	4313
maraviroc	10318C	5008
tenofovir alafenamide + emtricitabine + elvitegravir + cobicistat	11114Y	4522
tenofovir alafenamide + emtricitabine + elvitegravir + cobicistat	11114Y	4470
atazanavir	10349Q	4512
atazanavir	10349Q	4454
lanreotide	11316N	7532
lanreotide	11316N	7509
zidovudine	10360G	4512
zidovudine	10360G	4454
zidovudine	10361H	4512
zidovudine	10361H	4454
tenofovir disoproxil	11992E	10362
ganciclovir	10328N	5000
tenofovir disoproxil + emtricitabine	11146P	6985
tenofovir disoproxil + emtricitabine	11146P	6986
tipranavir	10344K	5764
darunavir	10329P	5094
octreotide	11512X	8197
octreotide	11512X	8208
octreotide	11512X	8198
tenofovir disoproxil	11982P	10362
emtricitabine + tenofovir alafenamide	11113X	4512
emtricitabine + tenofovir alafenamide	11113X	4454
atazanavir + cobicistat	10692R	4512
atazanavir + cobicistat	10692R	4454
dolutegravir + lamivudine	11843H	9987
dolutegravir + lamivudine	11843H	11066
lopinavir + ritonavir	10272P	4512
lopinavir + ritonavir	10272P	4454
efavirenz	10275T	4512
efavirenz	10275T	4454
lanreotide	11289E	7532
lanreotide	11289E	7509
fosamprenavir	10337C	4512
fosamprenavir	10337C	4454
dolutegravir + abacavir + lamivudine	10345L	9981
dolutegravir + abacavir + lamivudine	10345L	10116
efavirenz	10366N	4512
efavirenz	10366N	4454
raltegravir	10326L	4275
raltegravir	10326L	4274
lopinavir + ritonavir	10285H	4512
lopinavir + ritonavir	10285H	4454
nevirapine	10304H	4512
nevirapine	10304H	4454
