GE!1418P!AP!!39401000036106!ticagrelor!35461000036107!ticagrelor 90 mg tablet, 56!Brilinta!35451000036109!Brilinta 90 mg tablet, 56!!56!114.52!114.52!
GE!3172Y!RW!!21338011000036109!risperidone!27155011000036109!risperidone 4 mg tablet, 60!Rispa!49565011000036104!Rispa 4 mg tablet, 60!!60!27.62!27.62!
GE!3172Y!JC!!21338011000036109!risperidone!27155011000036109!risperidone 4 mg tablet, 60!Risperdal!12498011000036107!Risperdal 4 mg tablet, 60!!60!27.62!27.62!
GE!3172Y!TX!!21338011000036109!risperidone!27155011000036109!risperidone 4 mg tablet, 60!APO-Risperidone!49551011000036108!Risperidone (Apo) 4 mg tablet, 60!!60!27.62!27.62!
GE!3172Y!EF!!21338011000036109!risperidone!27155011000036109!risperidone 4 mg tablet, 60!Risperidone AMNEAL!767141000168106!Risperidone (Amneal) 4 mg tablet, 60!!60!27.62!27.62!
GE!3172Y!ER!!21338011000036109!risperidone!27155011000036109!risperidone 4 mg tablet, 60!Rispernia!928194011000036105!Rispernia 4 mg tablet, 60!!60!27.62!27.62!
GE!3172Y!GQ!!21338011000036109!risperidone!27155011000036109!risperidone 4 mg tablet, 60!Risperidone generichealth!49654011000036101!Risperidone (Generic Health) 4 mg tablet, 60!!60!27.62!27.62!
GE!3172Y!SZ!!21338011000036109!risperidone!27155011000036109!risperidone 4 mg tablet, 60!Risperidone Sandoz!926139011000036107!Risperidone (Sandoz) 4 mg tablet, 60!!60!27.62!27.62!
GE!3172Y!AF!!21338011000036109!risperidone!27155011000036109!risperidone 4 mg tablet, 60!Rixadone!49570011000036104!Rixadone 4 mg tablet, 60!!60!27.62!27.62!
GE!5296R!SZ!!44970011000036105!artemether + lumefantrine!922601011000036104!artemether 20 mg + lumefantrine 120 mg dispersible tablet, 18!Riamet 20mg/120mg Dispersible!921473011000036105!Riamet dispersible tablet, 18!!18!82.27!82.27!
GE!3318P!GQ!!21224011000036108!cefalexin!28235011000036102!cefalexin 500 mg capsule, 20!Cephalexin generichealth!79497011000036105!Cephalexin (Generic Health) 500 mg capsule, 20!!20!1.73!1.73!0.00
GE!3318P!EA!!21224011000036108!cefalexin!28235011000036102!cefalexin 500 mg capsule, 20!Cephalexin AN!658311000168105!Cephalexin (AN) 500 mg capsule, 20!!20!1.73!1.73!0.00
GE!3318P!TX!!21224011000036108!cefalexin!28235011000036102!cefalexin 500 mg capsule, 20!APO-Cephalexin!174621000036109!Cephalexin (Apo) 500 mg capsule, 20!!20!1.73!1.73!0.00
GE!3318P!CR!!21224011000036108!cefalexin!28235011000036102!cefalexin 500 mg capsule, 20!Cephalex 500!657561000168103!Cephalex 500 mg capsule, 20!!20!1.73!1.73!0.00
GE!3318P!AS!!21224011000036108!cefalexin!28235011000036102!cefalexin 500 mg capsule, 20!Keflex!13366011000036105!Keflex 500 mg capsule, 20!!20!1.73!6.82!
GE!3318P!VO!!21224011000036108!cefalexin!28235011000036102!cefalexin 500 mg capsule, 20!NOUMED CEFALEXIN!506651000144108!Cephalexin (Noumed) 500 mg capsule, 20!!20!1.73!1.73!0.00
GE!3318P!SZ!!21224011000036108!cefalexin!28235011000036102!cefalexin 500 mg capsule, 20!Cefalexin Sandoz!49711011000036104!Cefalexin (Sandoz) 500 mg capsule, 20!!20!1.73!1.73!0.00
GE!3318P!AF!!21224011000036108!cefalexin!28235011000036102!cefalexin 500 mg capsule, 20!Ibilex 500!13368011000036109!Ibilex 500 mg capsule, 20!!20!1.73!1.73!0.00
GE!3047J!AF!!21475011000036105!pyrantel!26929011000036107!pyrantel 125 mg tablet, 6!Anthel 125!12119011000036104!Anthel 125 mg tablet, 6!!6!5.37!5.37!
GE!5134F!NV!!931806011000036104!indacaterol!932402011000036106!indacaterol 150 microgram powder for inhalation, 30 capsules!Onbrez!930686011000036100!Onbrez Breezhaler 150 microgram powder for inhalation, 30 capsules!!30!44.95!44.95!
GE!3416T!KY!!87750011000036101!macrogol-3350!87831011000036106!macrogol-3350 1 g/g powder for oral liquid, 510 g!OsmoLax!87504011000036100!Osmolax 1 g/g powder for oral liquid, 510 g!!1!7.04!7.04!
GE!5263B!AL!!21605011000036100!methylprednisolone!654061000168103!methylprednisolone 40 mg injection, 5 vials!Methylpred!654071000168109!Methylpred 40 mg powder for injection, 5 vials!!5!11.29!11.29!
GE!3152X!AS!!21273011000036105!prednisolone!33833011000036105!prednisolone 1 mg tablet, 100!Panafcortelone!12278011000036102!Panafcortelone 1 mg tablet, 100!!100!2.38!3.31!
GE!3152X!LN!!21273011000036105!prednisolone!33833011000036105!prednisolone 1 mg tablet, 100!Predsolone!14340011000036100!Predsolone 1 mg tablet, 100!!100!2.38!2.38!0.00
GE!5233K!AS!!21377011000036106!triamcinolone!26969011000036103!triamcinolone acetonide 10 mg/mL injection, 5 x 1 mL ampoules!Kenacort-A10!12183011000036100!Kenacort-A10 10 mg/mL injection, 5 x 1 mL ampoules!!5!15.03!15.03!
GE!3145M!BY!!21589011000036108!clonidine!26955011000036106!clonidine hydrochloride 100 microgram tablet, 100!Catapres 100!12159011000036105!Catapres 100 microgram tablet, 100!!100!14.49!14.49!
GE!3145M!TX!!21589011000036108!clonidine!26955011000036106!clonidine hydrochloride 100 microgram tablet, 100!APO-Clonidine!894621000168102!Clonidine (Apo) 100 microgram tablet, 100!!100!14.49!14.49!
GE!3391L!RW!!21461011000036103!trimethoprim + sulfamethoxazole!26949011000036105!trimethoprim 40 mg/5 mL + sulfamethoxazole 200 mg/5 mL oral liquid, 100 mL!Septrin!30581011000036103!Septrin Sugar Free oral liquid, 100 mL!!1!7.72!7.72!
GE!2997R!EU!!21446011000036102!calcitonin salmon (salcatonin)!26824011000036103!calcitonin salmon (salcatonin) 100 units/mL injection, 5 x 1 mL ampoules!Miacalcic 100!11971011000036106!Miacalcic 100 units/mL injection, 5 x 1 mL ampoules!!15!35.41!35.41!
GE!5076E!AF!!21288011000036105!diclofenac!27884011000036109!diclofenac sodium 25 mg enteric tablet, 50!Fenac 25!930788011000036107!Fenac 25 mg enteric tablet, 50!!100!1.37!1.37!0.00
GE!5076E!EA!!21288011000036105!diclofenac!27884011000036109!diclofenac sodium 25 mg enteric tablet, 50!Diclofenac AN!670631000168109!Diclofenac Sodium (AN) 25 mg enteric tablet, 50!!100!1.37!1.37!0.00
GE!5076E!TX!!21288011000036105!diclofenac!27884011000036109!diclofenac sodium 25 mg enteric tablet, 50!APO-Diclofenac!82187011000036103!Diclofenac Sodium (Apo) 25 mg enteric tablet, 50!!100!1.37!1.37!0.00
GE!5076E!NV!!21288011000036105!diclofenac!27884011000036109!diclofenac sodium 25 mg enteric tablet, 50!Voltaren 25!11416011000036108!Voltaren 25 mg enteric tablet, 50!!100!1.37!2.97!
GE!5076E!SZ!!21288011000036105!diclofenac!27884011000036109!diclofenac sodium 25 mg enteric tablet, 50!Diclofenac Sandoz!933226221000036106!Diclofenac Sodium (Sandoz) 25 mg enteric tablet, 50!!100!1.37!1.37!0.00
GE!5076E!ED!!21288011000036105!diclofenac!27884011000036109!diclofenac sodium 25 mg enteric tablet, 50!Diclofenac Amneal!952111000168109!Diclofenac (Amneal) 25 mg enteric tablet, 50!!100!1.37!1.37!0.00
GE!5076E!RW!!21288011000036105!diclofenac!27884011000036109!diclofenac sodium 25 mg enteric tablet, 50!Clonac 25!13638011000036108!Clonac 25 mg enteric tablet, 50!!100!1.37!1.37!0.00
GE!5277R!AF!!21258011000036102!fentanyl!26649011000036106!fentanyl 25 microgram/hour patch, 5!Denpax!933204141000036107!Denpax 25 microgram/hour patch, 5!!5!10.01!10.01!
GE!5124Q!TX!!21885011000036105!ibuprofen!27938011000036102!ibuprofen 400 mg tablet, 30!APO-Ibuprofen 400!1006721000168103!Ibuprofen (Apo) 400 mg tablet, 30!!30!1.79!1.79!0.00
GE!5124Q!GO!!21885011000036105!ibuprofen!27938011000036102!ibuprofen 400 mg tablet, 30!Brufen!13783011000036102!Brufen 400 mg tablet, 30!!30!1.79!4.58!
GE!5232J!EA!!21486011000036105!tramadol!28222011000036107!tramadol hydrochloride 50 mg capsule, 20!Tramadol AN!660461000168108!Tramadol Hydrochloride (AN) 50 mg capsule, 20!!20!1.86!1.86!0.00
GE!5232J!SZ!!21486011000036105!tramadol!28222011000036107!tramadol hydrochloride 50 mg capsule, 20!Tramadol Sandoz!87423011000036103!Tramadol (Sandoz) 50 mg capsule, 20!!20!1.86!1.86!0.00
GE!5232J!RW!!21486011000036105!tramadol!28222011000036107!tramadol hydrochloride 50 mg capsule, 20!Zydol!13789011000036104!Zydol 50 mg capsule, 20!!20!1.86!1.86!0.00
GE!5232J!AF!!21486011000036105!tramadol!28222011000036107!tramadol hydrochloride 50 mg capsule, 20!Tramedo!11460011000036106!Tramedo 50 mg capsule, 20!!20!1.86!1.86!0.00
GE!5232J!EF!!21486011000036105!tramadol!28222011000036107!tramadol hydrochloride 50 mg capsule, 20!Tramadol AMNEAL!1050931000168108!Tramadol (Amneal) 50 mg capsule, 20!!20!1.86!1.86!0.00
GE!5232J!CS!!21486011000036105!tramadol!28222011000036107!tramadol hydrochloride 50 mg capsule, 20!Tramal!13082011000036107!Tramal 50 mg capsule, 20!!20!1.86!4.11!
GE!5232J!TX!!21486011000036105!tramadol!28222011000036107!tramadol hydrochloride 50 mg capsule, 20!APO-Tramadol!923389011000036103!Tramadol Hydrochloride (Apo) 50 mg capsule, 20!!20!1.86!1.86!0.00
GE!5469W!PF!!33624011000036101!varenicline!33788011000036105!varenicline 1 mg tablet, 56!Champix!33272011000036108!Champix 1 mg tablet, 56!!56!82.41!82.41!
GE!5453B!GO!!9341000144106!pancreatic extract!44361000144104!pancreatic extract 5000 units/100 mg enteric coated granules, 20 g!Creon Micro!133961000144106!Creon Micro 5000 units/100 mg enteric coated granules, 20 g!!3!30.99!30.99!
GE!5206B!SW!!21262011000036105!prochlorperazine!27022011000036107!prochlorperazine mesilate 12.5 mg/mL injection, 10 x 1 mL ampoules!Stemetil!12259011000036107!Stemetil 12.5 mg/mL injection, 10 x 1 mL ampoules!!10!9.00!9.00!
GE!3320R!SZ!!21224011000036108!cefalexin!28273011000036101!cefalexin 250 mg/5 mL powder for oral liquid, 100 mL!Cefalexin Sandoz!34386011000036108!Cefalexin (Sandoz) 250 mg/5 mL powder for oral liquid, 100 mL!!1!2.10!2.10!0.00
GE!3320R!AS!!21224011000036108!cefalexin!28273011000036101!cefalexin 250 mg/5 mL powder for oral liquid, 100 mL!Keflex!14043011000036107!Keflex 250 mg/5 mL powder for oral liquid, 100 mL!!1!2.10!7.39!
GE!3320R!AF!!21224011000036108!cefalexin!28273011000036101!cefalexin 250 mg/5 mL powder for oral liquid, 100 mL!Ibilex 250!14045011000036108!Ibilex 250 mg/5 mL powder for oral liquid, 100 mL!!1!2.10!2.10!0.00
GE!5110Y!AN!!923928011000036106!denosumab!933225491000036102!denosumab 120 mg/1.7 mL injection, 1.7 mL vial!Xgeva!933225481000036104!Xgeva 120 mg/1.7 mL injection, 1.7 mL vial!!1!446.50!446.50!
GE!5046N!AL!!21661011000036101!cefaclor!28175011000036102!cefaclor 125 mg/5 mL powder for oral liquid, 100 mL!Ceclor!12757011000036105!Ceclor 125 mg/5 mL powder for oral liquid, 100 mL!!1!3.11!10.55!
GE!5046N!TX!!21661011000036101!cefaclor!28175011000036102!cefaclor 125 mg/5 mL powder for oral liquid, 100 mL!APO-Cefaclor!158881000036103!Cefaclor (Apo) 125 mg/5 mL powder for oral liquid, 100 mL!!1!3.11!3.11!0.00
GE!5046N!MQ!!21661011000036101!cefaclor!28175011000036102!cefaclor 125 mg/5 mL powder for oral liquid, 100 mL!Aclor 125!11139011000036105!Aclor 125 mg/5 mL powder for oral liquid, 100 mL!!1!3.11!3.11!0.00
GE!5046N!AF!!21661011000036101!cefaclor!28175011000036102!cefaclor 125 mg/5 mL powder for oral liquid, 100 mL!Keflor!12883011000036106!Keflor 125 mg/5 mL powder for oral liquid, 100 mL!!1!3.11!3.11!0.00
GE!5090X!TX!!21623011000036108!flucloxacillin!27676011000036104!flucloxacillin 250 mg capsule, 24!APO-Flucloxacillin!712511000168103!Flucloxacillin (Apo) 250 mg capsule, 24!!24!3.86!3.86!
GE!5090X!AF!!21623011000036108!flucloxacillin!27676011000036104!flucloxacillin 250 mg capsule, 24!Staphylex 250!13100011000036103!Staphylex 250 mg capsule, 24!!24!3.86!3.86!
GE!5090X!AL!!21623011000036108!flucloxacillin!27676011000036104!flucloxacillin 250 mg capsule, 24!Flopen!12359011000036104!Flopen 250 mg capsule, 24!!24!3.86!3.86!
GE!5204X!TX!!21531011000036103!piroxicam!27763011000036106!piroxicam 20 mg capsule, 25!APO-Piroxicam!1168071000168109!Piroxicam (Apo) 20 mg capsule, 25!!25!4.45!4.45!0.00
GE!5204X!PF!!21531011000036103!piroxicam!27763011000036106!piroxicam 20 mg capsule, 25!Feldene!12543011000036103!Feldene 20 mg capsule, 25!!25!4.45!11.89!
GE!5204X!AF!!21531011000036103!piroxicam!27763011000036106!piroxicam 20 mg capsule, 25!Mobilis 20!12773011000036103!Mobilis 20 mg capsule, 25!!25!4.45!4.45!0.00
GE!3401B!RF!!21697011000036107!esomeprazole!27739011000036103!esomeprazole 40 mg enteric tablet, 30!Nexole!704041000168100!Nexole 40 mg enteric tablet, 30!!30!9.97!9.97!0.00
GE!3401B!AF!!21697011000036107!esomeprazole!27739011000036103!esomeprazole 40 mg enteric tablet, 30!Esomeprazole GxP!668661000168107!Esomeprazole (GxP) 40 mg enteric tablet, 30!!30!9.97!9.97!0.00
GE!3401B!GQ!!21697011000036107!esomeprazole!27739011000036103!esomeprazole 40 mg enteric tablet, 30!Esomeprazole GH!712401000168102!Esomeprazole (GH) 40 mg enteric tablet, 30!!30!9.97!9.97!0.00
GE!3401B!AP!!21697011000036107!esomeprazole!27739011000036103!esomeprazole 40 mg enteric tablet, 30!Nexium!13431011000036102!Nexium 40 mg enteric tablet, 30!!30!9.97!13.30!
GE!3401B!RA!!21697011000036107!esomeprazole!27739011000036103!esomeprazole 40 mg enteric tablet, 30!Esomeprazole RBX!652701000168106!Esomeprazole (RBX) 40 mg enteric tablet, 30!!30!9.97!9.97!0.00
GE!3401B!TX!!21697011000036107!esomeprazole!27739011000036103!esomeprazole 40 mg enteric tablet, 30!Esomeprazole Apotex!681711000168105!Esomeprazole (Apotex) 40 mg enteric tablet, 30!!30!9.97!9.97!0.00
GE!3401B!RW!!21697011000036107!esomeprazole!27739011000036103!esomeprazole 40 mg enteric tablet, 30!Nexazole!774861000168100!Nexazole 40 mg enteric tablet, 30!!30!9.97!9.97!0.00
GE!3401B!SZ!!21697011000036107!esomeprazole!27739011000036103!esomeprazole 40 mg enteric tablet, 30!Esomeprazole Sandoz!704121000168107!Esomeprazole (Sandoz) 40 mg enteric tablet, 30!!30!9.97!9.97!0.00
GE!3401B!HX!!21697011000036107!esomeprazole!27739011000036103!esomeprazole 40 mg enteric tablet, 30!Esomeprazole SZ!1058391000168108!Esomeprazole (SZ) 40 mg enteric tablet, 30!!30!9.97!9.97!0.00
GE!5186Y!IY!!21304011000036105!naproxen!27625011000036107!naproxen sodium 550 mg tablet, 50!Crysanal!13215011000036107!Crysanal 550 mg tablet, 50!!50!5.13!5.13!0.00
GE!5186Y!IX!!21304011000036105!naproxen!27625011000036107!naproxen sodium 550 mg tablet, 50!Anaprox 550!13163011000036107!Anaprox 550 mg tablet, 50!!50!5.13!6.89!
GE!3118D!PF!!21378011000036107!medroxyprogesterone!27121011000036106!medroxyprogesterone acetate 150 mg/mL injection, 1 mL vial!Depo-Provera!11729011000036103!Depo-Provera 150 mg/mL injection, 1 mL vial!!1!13.14!19.65!
GE!3118D!FZ!!21378011000036107!medroxyprogesterone!27121011000036106!medroxyprogesterone acetate 150 mg/mL injection, 1 mL vial!Depo-Ralovera!12439011000036107!Depo-Ralovera 150 mg/mL injection, 1 mL vial!!1!13.14!13.14!0.00
GE!5145T!RW!!37716011000036100!pramipexole!933225461000036109!pramipexole dihydrochloride monohydrate 3.75 mg modified release tablet, 30!SIMIPEX XR!868831000168105!Simipex XR 3.75 mg modified release tablet, 30!!30!76.16!76.16!
GE!5145T!AF!!37716011000036100!pramipexole!933225461000036109!pramipexole dihydrochloride monohydrate 3.75 mg modified release tablet, 30!Pramipexole XR GP!808931000168100!Pramipexole XR (GP) 3.75 mg modified release tablet, 30!!30!76.16!76.16!
GE!5145T!BY!!37716011000036100!pramipexole!933225461000036109!pramipexole dihydrochloride monohydrate 3.75 mg modified release tablet, 30!Sifrol ER!933225451000036106!Sifrol ER 3.75 mg modified release tablet, 30!!30!76.16!76.16!
GE!5145T!TX!!37716011000036100!pramipexole!933225461000036109!pramipexole dihydrochloride monohydrate 3.75 mg modified release tablet, 30!APO-Pramipexole ER!756441000168106!Pramipexole ER (Apo) 3.75 mg modified release tablet, 30!!30!76.16!76.16!
GE!3325B!YN!!21889011000036107!erythromycin!27918011000036106!erythromycin 250 mg enteric capsule, 25!Eryc!13054011000036109!Eryc 250 mg enteric capsule, 25!!25!9.47!9.47!
GE!3325B!YT!!21889011000036107!erythromycin!27918011000036106!erythromycin 250 mg enteric capsule, 25!Mayne Pharma Erythromycin!920468011000036102!Erythromycin (Mayne Pharma) 250 mg enteric capsule, 25!!25!9.47!9.47!
GE!5294P!AL!!13801000144101!olmesartan medoxomil + amlodipine!922568011000036104!olmesartan medoxomil 40 mg + amlodipine 10 mg tablet, 30!Sevikar 40/10!921440011000036101!Sevikar 40/10 tablet, 30!!30!9.60!9.60!
GE!5294P!CR!!13801000144101!olmesartan medoxomil + amlodipine!922568011000036104!olmesartan medoxomil 40 mg + amlodipine 10 mg tablet, 30!Pharmacor Olmesartan Amlodipine 40/10!495141000144102!Olmesartan/Amlodipine 40/10 (Pharmacor) tablet: film-coated, 30!!30!9.60!9.60!
GE!5294P!RW!!13801000144101!olmesartan medoxomil + amlodipine!922568011000036104!olmesartan medoxomil 40 mg + amlodipine 10 mg tablet, 30!OLMEKAR!481641000144105!Olmekar 40/10 film-coated tablet, 30!!30!9.60!9.60!
GE!5294P!TX!!13801000144101!olmesartan medoxomil + amlodipine!922568011000036104!olmesartan medoxomil 40 mg + amlodipine 10 mg tablet, 30!Olmesartan/Amlodipine 40/10 APOTEX!476711000144101!Olmesartan/Amlodipine 40/10 (Apotex) tablet: film-coated, 30!!30!9.60!9.60!
GE!5294P!AF!!13801000144101!olmesartan medoxomil + amlodipine!922568011000036104!olmesartan medoxomil 40 mg + amlodipine 10 mg tablet, 30!Olmesartan/Amlodipine - MYL 40/10!415471000144101!Olmesartan/Amlodipine 40/10 (Mylan) tablet: film-coated, 30!!30!9.60!9.60!
GE!5063L!AS!!21821011000036104!codeine!834811000168103!codeine phosphate hemihydrate 30 mg tablet, 20!Aspen Pharma Pty Ltd!834901000168106!Codeine (Aspen) 30 mg tablet, 20!!20!5.09!5.09!
GE!3092R!SB!!50769011000036106!milk powder synthetic low calcium!51257011000036105!milk powder synthetic low calcium powder for oral liquid, 400 g!Locasol!49264011000036106!Locasol powder for oral liquid, 400 g!!8!39.43!39.43!
GE!5434B!WA!!21553011000036103!enoxaparin sodium!27374011000036103!enoxaparin sodium 80 mg/0.8 mL injection, 10 x 0.8 mL syringes!Enoxaparin Winthrop!1145501000168108!Enoxaparin (Winthrop) 80 mg/0.8 mL injection, 10 x 0.8 mL syringes!!20!56.87!56.87!
GE!5434B!AV!!21553011000036103!enoxaparin sodium!27374011000036103!enoxaparin sodium 80 mg/0.8 mL injection, 10 x 0.8 mL syringes!Clexane Safety-Lock!823601000168101!Clexane with Automatic Safety Lock System 80 mg/0.8 mL injection, 10 x 0.8 mL syringes!!20!56.87!56.87!
GE!5434B!SW!!21553011000036103!enoxaparin sodium!27374011000036103!enoxaparin sodium 80 mg/0.8 mL injection, 10 x 0.8 mL syringes!Clexane!12817011000036100!Clexane 80 mg/0.8 mL injection, 10 x 0.8 mL syringes!!20!56.87!56.87!
GE!3345C!AS!!21669011000036102!nystatin!26902011000036109!nystatin 500 000 units capsule, 50!Nilstat!12080011000036102!Nilstat 500 000 units capsule, 50!!50!8.53!8.53!
GE!5239R!MF!!21252011000036100!morphine!26627011000036101!morphine hydrochloride trihydrate 10 mg/mL oral liquid, 200 mL!Ordine 10!11384011000036105!Ordine 10 mg/mL oral liquid, 200 mL!!1!14.34!14.34!
GE!3348F!SW!!21433011000036107!paracetamol!26846011000036108!paracetamol 120 mg/5 mL oral liquid, 100 mL!Panamax!12008011000036101!Panamax Elixir 120 mg/5 mL oral liquid, 100 mL!!1!2.39!2.39!
GE!3337P!AF!!21523011000036104!erythromycin ethylsuccinate!27323011000036104!erythromycin (as ethylsuccinate) 400 mg/5 mL powder for oral liquid, 100 mL!E-Mycin 400!12558011000036105!E-Mycin 400 mg/5 mL powder for oral liquid, 100 mL!!1!5.68!5.68!
GE!3342X!AS!!21669011000036102!nystatin!26901011000036103!nystatin 500 000 units tablet, 50!Nilstat!12079011000036102!Nilstat 500 000 units tablet, 50!!50!8.53!8.53!
GE!5128X!AS!!21301011000036107!indometacin!26600011000036106!indometacin 100 mg suppository, 20!Indocid!11311011000036105!Indocid 100 mg suppository, 20!!40!6.50!6.50!
GE!3385E!RW!!21485011000036103!olanzapine!68731000036106!olanzapine 20 mg orally disintegrating tablet, 28!PRYZEX ODT!1187631000168101!Pryzex ODT 20 mg orally disintegrating tablet, 28!!28!20.60!20.60!0.00
GE!3385E!SZ!!21485011000036103!olanzapine!68731000036106!olanzapine 20 mg orally disintegrating tablet, 28!Olanzapine Sandoz ODT 20!723841000168100!Olanzapine ODT (Sandoz) 20 mg orally disintegrating tablet, 28!!28!20.60!20.60!0.00
GE!3385E!TX!!21485011000036103!olanzapine!68731000036106!olanzapine 20 mg orally disintegrating tablet, 28!APO-Olanzapine ODT!6951000036103!Olanzapine ODT (Apo) 20 mg orally disintegrating tablet, 28!!28!20.60!20.60!0.00
GE!3385E!EA!!21485011000036103!olanzapine!68731000036106!olanzapine 20 mg orally disintegrating tablet, 28!Olanzapine AN ODT!658841000168104!Olanzapine ODT (AN) 20 mg orally disintegrating tablet, 28!!28!20.60!20.60!0.00
GE!3422D!BY!!37716011000036100!pramipexole!87818011000036106!pramipexole dihydrochloride monohydrate 4.5 mg modified release tablet, 30!Sifrol ER!87468011000036101!Sifrol ER 4.5 mg modified release tablet, 30!!30!92.95!92.95!
GE!3422D!RW!!37716011000036100!pramipexole!87818011000036106!pramipexole dihydrochloride monohydrate 4.5 mg modified release tablet, 30!SIMIPEX XR!869031000168109!Simipex XR 4.5 mg modified release tablet, 30!!30!92.95!92.95!
GE!3422D!AF!!37716011000036100!pramipexole!87818011000036106!pramipexole dihydrochloride monohydrate 4.5 mg modified release tablet, 30!Pramipexole XR GP!808981000168104!Pramipexole XR (GP) 4.5 mg modified release tablet, 30!!30!92.95!92.95!
GE!3422D!TX!!37716011000036100!pramipexole!87818011000036106!pramipexole dihydrochloride monohydrate 4.5 mg modified release tablet, 30!APO-Pramipexole ER!756501000168105!Pramipexole ER (Apo) 4.5 mg modified release tablet, 30!!30!92.95!92.95!
GE!3393N!SZ!!21415011000036100!amoxicillin!28239011000036100!amoxicillin 250 mg/5 mL powder for oral liquid, 100 mL!Amoxycillin Sandoz!57456011000036105!Amoxycillin (Sandoz) 250 mg/5 mL powder for oral liquid, 100 mL!!1!1.59!1.59!0.00
GE!3393N!AL!!21415011000036100!amoxicillin!28239011000036100!amoxicillin 250 mg/5 mL powder for oral liquid, 100 mL!Cilamox!87131000144108!Cilamox sugar free 250 mg/5 mL powder for oral liquid, 100 mL!!1!1.59!1.59!0.00
GE!3393N!AF!!21415011000036100!amoxicillin!28239011000036100!amoxicillin 250 mg/5 mL powder for oral liquid, 100 mL!Alphamox 250!12728011000036107!Alphamox 250 mg/5 mL powder for oral liquid, 100 mL!!1!1.59!1.59!0.00
GE!3393N!VO!!21415011000036100!amoxicillin!28239011000036100!amoxicillin 250 mg/5 mL powder for oral liquid, 100 mL!NOUMED AMOXICILLIN!1500571000168107!Amoxicillin (Noumed) 250 mg/5 mL powder for oral liquid, 100 mL!!1!1.59!1.59!0.00
GE!3393N!AS!!21415011000036100!amoxicillin!28239011000036100!amoxicillin 250 mg/5 mL powder for oral liquid, 100 mL!Amoxil Forte!30583011000036102!Amoxil Forte Sugar Free 250 mg/5 mL powder for oral liquid, 100 mL!!1!1.59!4.90!
GE!3393N!TX!!21415011000036100!amoxicillin!28239011000036100!amoxicillin 250 mg/5 mL powder for oral liquid, 100 mL!APO-Amoxycillin!174641000036101!Amoxycillin (Apo) 250 mg/5 mL powder for oral liquid, 100 mL!!1!1.59!1.59!0.00
GE!5115F!MF!!21480011000036107!hydromorphone!27605011000036103!hydromorphone hydrochloride 2 mg tablet, 20!Dilaudid!13193011000036109!Dilaudid 2 mg tablet, 20!!20!6.13!6.13!
GE!5008N!RW!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!AMCLAVOX DUO 500/125!1024671000168108!Amclavox Duo 500/125 tablet, 10!!10!2.30!2.30!0.00
GE!5008N!TY!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!Amoxycillin/Clavulanic Acid 500/125 APOTEX!1417481000168101!Amoxycillin/Clavulanic Acid 500/125 (Apotex) tablet, 10!!10!2.30!2.30!0.00
GE!5008N!AF!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!AlphaClav Duo!737001000168100!Alphaclav Duo 500/125 tablet, 10!!10!2.30!2.30!0.00
GE!5008N!TX!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!APO-Amoxycillin/ Clavulanic Acid 500/125!78866011000036104!Amoxycillin and Clavulanic Acid 500/125 (Apo) tablet, 10!!10!2.30!2.30!0.00
GE!5008N!ED!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!AMOXICLAV AMNEAL 500/125!1044541000168104!Amoxiclav 500/125 (Amneal) tablet, 10!!10!2.30!2.30!0.00
GE!5008N!EA!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!Amoxyclav AN 500/125!662151000168102!Amoxiclav 500/125 (AN) tablet, 10!!10!2.30!2.30!0.00
GE!5008N!AS!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!Augmentin Duo!13460011000036103!Augmentin Duo 500/125 tablet, 10!!10!2.30!6.83!
GE!5008N!SZ!!21360011000036101!amoxicillin + clavulanic acid!28153011000036101!amoxicillin 500 mg + clavulanic acid 125 mg tablet, 10!Curam Duo 500/125!13888011000036109!Curam Duo 500/125 tablet, 10!!10!2.30!2.30!0.00
GE!5440H!ZP!!21258011000036102!fentanyl!26651011000036105!fentanyl 75 microgram/hour patch, 5!Fenpatch 75!933223751000036100!Fenpatch 75 microgram/hour patch, 5!!5!25.21!25.21!
GE!5440H!EA!!21258011000036102!fentanyl!26651011000036105!fentanyl 75 microgram/hour patch, 5!Dutran 75!84771000036100!Dutran 75 microgram/hour patch, 5!!5!25.21!25.21!
GE!5012T!AF!!21370011000036105!phenoxymethylpenicillin!35774011000036102!phenoxymethylpenicillin 150 mg/5 mL oral liquid, 100 mL!Cilicaine V!35578011000036108!Cilicaine V 150 mg/5 mL oral liquid, 100 mL!!2!6.14!6.14!
