mp-pt	item-code	manufacturer-code	pfdi
tramadol	5232J	RW	0.00
tramadol	5232J	AF	0.00
tramadol	5232J	EF	0.00
tramadol	5232J	TX	0.00
cefalexin	3320R	SZ	0.00
cefalexin	3320R	AF	0.00
cefaclor	5046N	TX	0.00
cefaclor	5046N	MQ	0.00
cefaclor	5046N	AF	0.00
piroxicam	5204X	TX	0.00
piroxicam	5204X	AF	0.00
esomeprazole	3401B	RF	0.00
esomeprazole	3401B	AF	0.00
esomeprazole	3401B	GQ	0.00
esomeprazole	3401B	RA	0.00
esomeprazole	3401B	TX	0.00
esomeprazole	3401B	RW	0.00
esomeprazole	3401B	SZ	0.00
esomeprazole	3401B	HX	0.00
naproxen	5186Y	IY	0.00
medroxyprogesterone	3118D	FZ	0.00
olanzapine	3385E	RW	0.00
olanzapine	3385E	SZ	0.00
olanzapine	3385E	TX	0.00
olanzapine	3385E	EA	0.00
amoxicillin	3393N	SZ	0.00
amoxicillin	3393N	AL	0.00
amoxicillin	3393N	AF	0.00
amoxicillin	3393N	VO	0.00
amoxicillin	3393N	TX	0.00
amoxicillin + clavulanic acid	5008N	RW	0.00
amoxicillin + clavulanic acid	5008N	TY	0.00
amoxicillin + clavulanic acid	5008N	AF	0.00
amoxicillin + clavulanic acid	5008N	TX	0.00
amoxicillin + clavulanic acid	5008N	ED	0.00
amoxicillin + clavulanic acid	5008N	EA	0.00
amoxicillin + clavulanic acid	5008N	SZ	0.00
ondansetron	5472B	RF	0.00
ondansetron	5472B	GQ	0.00
ondansetron	5472B	TX	0.00
ondansetron	5472B	HX	0.00
ondansetron	5472B	DO	0.00
ondansetron	5472B	EA	0.00
ondansetron	5472B	RZ	0.00
ondansetron	5472B	AF	0.00
perindopril	3051N	TX	0.00
perindopril	3051N	TY	0.00
perindopril	3051N	JB	0.00
perindopril	3051N	SZ	0.00
perindopril	3051N	AF	0.00
perindopril	3051N	IB	0.00
perindopril	3051N	EF	0.00
perindopril	3051N	RW	0.00
perindopril	3051N	GQ	0.00
perindopril	3051N	ED	0.00
ketoprofen	5136H	AV	0.00
prochlorperazine	5205Y	AV	0.00
prochlorperazine	5205Y	EA	0.00
prochlorperazine	5205Y	GQ	0.00
prochlorperazine	5205Y	RW	0.00
prochlorperazine	5205Y	TX	0.00
indometacin	5126T	AF	0.00
oxycodone	5195K	YN	0.00
oxycodone	5195K	AL	0.00
amlodipine + valsartan	5460J	NM	0.00
roxithromycin	5261X	TX	0.00
roxithromycin	5261X	SZ	0.00
roxithromycin	5261X	ED	0.00
roxithromycin	5261X	RW	0.00
roxithromycin	5261X	AF	0.00
roxithromycin	5261X	AV	0.00
roxithromycin	5261X	EA	0.00
doxycycline	3321T	RW	0.00
doxycycline	3321T	EA	0.00
doxycycline	3321T	AF	0.00
amlodipine + valsartan + hydrochlorothiazide	5289J	NM	0.00
doxycycline	5082L	TX	0.00
doxycycline	5082L	HX	0.00
metronidazole	3339R	AF	0.00
metronidazole	3339R	AV	0.00
metronidazole	5155H	AF	0.00
metronidazole	5155H	AV	0.00
piroxicam	5203W	TX	0.00
piroxicam	5203W	AF	0.00
temazepam	5221T	TX	0.00
temazepam	5221T	AF	0.00
temazepam	5221T	LN	0.00
piroxicam	5202T	AF	0.00
ondansetron	5473C	HX	0.00
ondansetron	5473C	RZ	0.00
ondansetron	5473C	RF	0.00
ondansetron	5473C	AF	0.00
ondansetron	5473C	TX	0.00
ondansetron	5473C	EA	0.00
ondansetron	5473C	GQ	0.00
ondansetron	5473C	DO	0.00
metoclopramide	5151D	RW	0.00
metoclopramide	5151D	TX	0.00
metoclopramide	5151D	AF	0.00
metoclopramide	5151D	EA	0.00
olanzapine	3384D	EA	0.00
olanzapine	3384D	TX	0.00
olanzapine	3384D	SZ	0.00
olanzapine	3384D	RW	0.00
methylprednisolone	5148Y	FZ	0.00
fluticasone propionate	8346G	GC	0.00
fluticasone propionate	8346G	LR	0.00
glimepiride	8450R	EA	0.00
glimepiride	8450R	SZ	0.00
glimepiride	8450R	AV	0.00
glimepiride	8450R	GX	0.00
glimepiride	8450R	AF	0.00
glimepiride	8450R	RW	0.00
glimepiride	8450R	TX	0.00
fluticasone propionate	8345F	LR	0.00
fluticasone propionate	8345F	GC	0.00
telmisartan	8356T	GQ	0.00
telmisartan	8356T	RZ	0.00
telmisartan	8356T	EA	0.00
telmisartan	8356T	CR	0.00
telmisartan	8356T	AF	0.00
telmisartan	8356T	SZ	0.00
telmisartan	8356T	RW	0.00
telmisartan	8356T	TX	0.00
dutasteride + tamsulosin	5490Y	GC	0.00
moclobemide	8003F	SZ	0.00
moclobemide	8003F	TX	0.00
moclobemide	8003F	ED	0.00
moclobemide	8003F	AF	0.00
moclobemide	8003F	EA	0.00
acarbose	8189B	RW	0.00
acarbose	8189B	AF	0.00
brimonidine	8351M	PE	0.00
candesartan	8296P	IB	0.00
candesartan	8296P	AF	0.00
candesartan	8296P	EA	0.00
candesartan	8296P	RF	0.00
candesartan	8296P	RW	0.00
candesartan	8296P	TX	0.00
candesartan	8296P	SZ	0.00
valaciclovir	8134D	CR	0.00
valaciclovir	8134D	RA	0.00
valaciclovir	8134D	EA	0.00
valaciclovir	8134D	SZ	0.00
valaciclovir	8134D	HX	0.00
valaciclovir	8134D	TX	0.00
valaciclovir	8134D	RF	0.00
valaciclovir	8134D	DO	0.00
valaciclovir	8134D	GQ	0.00
valaciclovir	8134D	AF	0.00
valaciclovir	8134D	GX	0.00
hypromellose + carbomer-980	5519L	IQ	0.00
dorzolamide + timolol	5542Q	TX	0.00
dorzolamide + timolol	5542Q	AF	0.00
valaciclovir	8064K	SZ	0.00
valaciclovir	8064K	EA	0.00
valaciclovir	8064K	AF	0.00
valaciclovir	8064K	RF	0.00
valaciclovir	8064K	CR	0.00
valaciclovir	8064K	GX	0.00
valaciclovir	8064K	TX	0.00
valaciclovir	8064K	GQ	0.00
valaciclovir	8064K	RA	0.00
fluoxetine	8270G	AF	0.00
fluoxetine	8270G	AL	0.00
irbesartan + hydrochlorothiazide	8405J	AL	0.00
irbesartan + hydrochlorothiazide	8405J	IB	0.00
irbesartan + hydrochlorothiazide	8405J	ED	0.00
irbesartan + hydrochlorothiazide	8405J	GQ	0.00
irbesartan + hydrochlorothiazide	8405J	RW	0.00
irbesartan + hydrochlorothiazide	8405J	RF	0.00
irbesartan + hydrochlorothiazide	8405J	EF	0.00
irbesartan + hydrochlorothiazide	8405J	TX	0.00
irbesartan + hydrochlorothiazide	8405J	SZ	0.00
olanzapine	8187X	SZ	0.00
olanzapine	8187X	RA	0.00
olanzapine	8187X	GX	0.00
olanzapine	8187X	RW	0.00
olanzapine	8187X	DO	0.00
olanzapine	8187X	TX	0.00
olanzapine	8187X	EA	0.00
olanzapine	8187X	RZ	0.00
olanzapine	8187X	AF	0.00
paraffin	5522P	PE	0.00
roxithromycin	8016X	SZ	0.00
roxithromycin	8016X	AV	0.00
roxithromycin	8016X	EA	0.00
roxithromycin	8016X	ED	0.00
roxithromycin	8016X	TX	0.00
roxithromycin	8016X	RW	0.00
roxithromycin	8016X	AF	0.00
omeprazole	8333N	EA	0.00
omeprazole	8333N	GQ	0.00
omeprazole	8333N	TX	0.00
omeprazole	8333N	ZP	0.00
dicloxacillin	8121K	AL	0.00
glimepiride	8451T	TX	0.00
glimepiride	8451T	RW	0.00
glimepiride	8451T	EA	0.00
glimepiride	8451T	SZ	0.00
glimepiride	8451T	AF	0.00
glimepiride	8451T	GX	0.00
glimepiride	8451T	AV	0.00
irbesartan	8247C	IB	0.00
irbesartan	8247C	EF	0.00
irbesartan	8247C	AL	0.00
irbesartan	8247C	ED	0.00
irbesartan	8247C	RF	0.00
irbesartan	8247C	GQ	0.00
irbesartan	8247C	SZ	0.00
irbesartan	8247C	EA	0.00
irbesartan	8247C	TX	0.00
sumatriptan	8144P	SZ	0.00
sumatriptan	8144P	TX	0.00
sumatriptan	8144P	AL	0.00
sumatriptan	8144P	OW	0.00
prednisolone sodium phosphate	8285C	LN	0.00
dicloxacillin	8122L	AL	0.00
irbesartan	8248D	RF	0.00
irbesartan	8248D	EA	0.00
irbesartan	8248D	TX	0.00
irbesartan	8248D	SZ	0.00
irbesartan	8248D	AL	0.00
irbesartan	8248D	EF	0.00
irbesartan	8248D	IB	0.00
irbesartan	8248D	ED	0.00
irbesartan	8248D	GQ	0.00
fluvoxamine	8174F	ED	0.00
fluvoxamine	8174F	TX	0.00
fluvoxamine	8174F	RW	0.00
fluvoxamine	8174F	AF	0.00
fluvoxamine	8174F	EA	0.00
olanzapine	8186W	RW	0.00
olanzapine	8186W	GX	0.00
olanzapine	8186W	EA	0.00
olanzapine	8186W	DO	0.00
olanzapine	8186W	RA	0.00
olanzapine	8186W	AF	0.00
olanzapine	8186W	SZ	0.00
olanzapine	8186W	RZ	0.00
olanzapine	8186W	TX	0.00
pravastatin	8197K	AF	0.00
pravastatin	8197K	RF	0.00
pravastatin	8197K	EA	0.00
pravastatin	8197K	TX	0.00
pravastatin	8197K	SZ	0.00
carbomer-980	8384G	UL	0.00
carbomer-980	8384G	PP	0.00
quetiapine	8458E	RZ	0.00
quetiapine	8458E	CR	0.00
quetiapine	8458E	ED	0.00
quetiapine	8458E	RA	0.00
quetiapine	8458E	TX	0.00
quetiapine	8458E	EA	0.00
quetiapine	8458E	AF	0.00
quetiapine	8458E	GQ	0.00
quetiapine	8458E	GX	0.00
quetiapine	8458E	ER	0.00
quetiapine	8458E	RW	0.00
quetiapine	8458E	HX	0.00
quetiapine	8458E	SZ	0.00
olanzapine	8434X	AF	0.00
ipratropium	8238N	TX	0.00
ipratropium	8238N	AL	0.00
ipratropium	8238N	AF	0.00
quetiapine	8457D	TX	0.00
quetiapine	8457D	RZ	0.00
quetiapine	8457D	EA	0.00
quetiapine	8457D	SZ	0.00
quetiapine	8457D	GQ	0.00
quetiapine	8457D	ED	0.00
quetiapine	8457D	ER	0.00
quetiapine	8457D	HX	0.00
quetiapine	8457D	GX	0.00
quetiapine	8457D	CR	0.00
quetiapine	8457D	RA	0.00
quetiapine	8457D	RW	0.00
quetiapine	8457D	AF	0.00
betaxolol	5544T	NM	0.00
valaciclovir	8133C	AF	0.00
valaciclovir	8133C	SZ	0.00
valaciclovir	8133C	RF	0.00
valaciclovir	8133C	EA	0.00
valaciclovir	8133C	GX	0.00
valaciclovir	8133C	TX	0.00
olanzapine	8170B	EA	0.00
olanzapine	8170B	DO	0.00
olanzapine	8170B	AF	0.00
olanzapine	8170B	RZ	0.00
olanzapine	8170B	GX	0.00
olanzapine	8170B	TX	0.00
olanzapine	8170B	RA	0.00
olanzapine	8170B	RW	0.00
olanzapine	8170B	SZ	0.00
mometasone	8043H	AS	0.00
mometasone	8043H	AF	0.00
mometasone	8043H	EO	0.00
omeprazole	8331L	EA	0.00
omeprazole	8331L	GQ	0.00
omeprazole	8331L	TX	0.00
omeprazole	8331L	ZP	0.00
salbutamol	8288F	AL	0.00
simvastatin	8173E	SZ	0.00
simvastatin	8173E	EA	0.00
simvastatin	8173E	AF	0.00
simvastatin	8173E	TX	0.00
simvastatin	8173E	GQ	0.00
simvastatin	8173E	RW	0.00
quetiapine	8456C	ER	0.00
quetiapine	8456C	EA	0.00
quetiapine	8456C	RA	0.00
quetiapine	8456C	AF	0.00
quetiapine	8456C	GX	0.00
quetiapine	8456C	GQ	0.00
quetiapine	8456C	RW	0.00
quetiapine	8456C	RZ	0.00
quetiapine	8456C	CR	0.00
quetiapine	8456C	SZ	0.00
quetiapine	8456C	TX	0.00
quetiapine	8456C	HX	0.00
perindopril + indapamide	8449Q	ED	0.00
perindopril + indapamide	8449Q	RW	0.00
perindopril + indapamide	8449Q	GQ	0.00
perindopril + indapamide	8449Q	SZ	0.00
perindopril + indapamide	8449Q	GX	0.00
perindopril + indapamide	8449Q	EF	0.00
glimepiride	8452W	RW	0.00
glimepiride	8452W	AF	0.00
glimepiride	8452W	TX	0.00
glimepiride	8452W	SZ	0.00
glimepiride	8452W	EA	0.00
glimepiride	8452W	GX	0.00
glimepiride	8452W	AV	0.00
sotalol	8398B	AF	0.00
sotalol	8398B	SZ	0.00
sotalol	8398B	RF	0.00
sotalol	8398B	TX	0.00
carmellose sodium	5506T	PP	0.00
ciprofloxacin	5564W	NM	0.00
candesartan	8295N	EA	0.00
candesartan	8295N	SZ	0.00
candesartan	8295N	RF	0.00
candesartan	8295N	RW	0.00
candesartan	8295N	IB	0.00
candesartan	8295N	TX	0.00
candesartan	8295N	AF	0.00
candesartan	8297Q	SZ	0.00
candesartan	8297Q	RF	0.00
candesartan	8297Q	GQ	0.00
candesartan	8297Q	EA	0.00
candesartan	8297Q	RW	0.00
candesartan	8297Q	AF	0.00
candesartan	8297Q	IB	0.00
candesartan	8297Q	TX	0.00
tramadol	8455B	SZ	0.00
tramadol	8455B	AF	0.00
tramadol	8455B	EA	0.00
tramadol	8455B	TX	0.00
tramadol	8455B	RW	0.00
tramadol	8455B	EF	0.00
brinzolamide	5540N	NM	0.00
irbesartan + hydrochlorothiazide	8404H	IB	0.00
irbesartan + hydrochlorothiazide	8404H	TX	0.00
irbesartan + hydrochlorothiazide	8404H	SZ	0.00
irbesartan + hydrochlorothiazide	8404H	RW	0.00
irbesartan + hydrochlorothiazide	8404H	AL	0.00
irbesartan + hydrochlorothiazide	8404H	RF	0.00
irbesartan + hydrochlorothiazide	8404H	EF	0.00
irbesartan + hydrochlorothiazide	8404H	GQ	0.00
irbesartan + hydrochlorothiazide	8404H	ED	0.00
cyproterone	8019C	CR	0.00
cyproterone	8019C	RW	0.00
cyproterone	8019C	HX	0.00
cyproterone	8019C	AS	0.00
cyproterone	8019C	GX	0.00
cyproterone	8019C	SY	0.00
cyproterone	8019C	EA	0.00
cyproterone	8019C	TX	0.00
cyproterone	8019C	AF	0.00
olanzapine	8185T	GX	0.00
olanzapine	8185T	SZ	0.00
olanzapine	8185T	EA	0.00
olanzapine	8185T	RA	0.00
olanzapine	8185T	DO	0.00
olanzapine	8185T	RZ	0.00
olanzapine	8185T	TX	0.00
olanzapine	8185T	AF	0.00
olanzapine	8185T	RW	0.00
zolmitriptan	8266C	TX	0.00
zolmitriptan	8266C	RW	0.00
valaciclovir	5480K	GX	0.00
valaciclovir	5480K	HX	0.00
valaciclovir	5480K	DO	0.00
valaciclovir	5480K	RA	0.00
valaciclovir	5480K	TX	0.00
valaciclovir	5480K	RF	0.00
valaciclovir	5480K	AF	0.00
valaciclovir	5480K	EA	0.00
valaciclovir	5480K	GQ	0.00
valaciclovir	5480K	CR	0.00
valaciclovir	5480K	SZ	0.00
amoxicillin + clavulanic acid	8254K	SZ	0.00
amoxicillin + clavulanic acid	8254K	TX	0.00
amoxicillin + clavulanic acid	8254K	EA	0.00
amoxicillin + clavulanic acid	8254K	AF	0.00
amoxicillin + clavulanic acid	8254K	RW	0.00
amoxicillin + clavulanic acid	8254K	HQ	0.00
amoxicillin + clavulanic acid	8254K	ED	0.00
carmellose sodium	5505R	PP	0.00
olanzapine	8433W	AF	0.00
polyvinyl alcohol	5526W	PE	0.00
telmisartan	8355R	GQ	0.00
telmisartan	8355R	AF	0.00
telmisartan	8355R	EA	0.00
telmisartan	8355R	TX	0.00
telmisartan	8355R	RZ	0.00
telmisartan	8355R	RW	0.00
telmisartan	8355R	CR	0.00
telmisartan	8355R	SZ	0.00
amoxicillin + clavulanic acid	8319W	SZ	0.00
citalopram	8220P	EA	0.00
citalopram	8220P	AF	0.00
citalopram	8220P	ED	0.00
citalopram	8220P	SZ	0.00
citalopram	8220P	VO	0.00
citalopram	8220P	RW	0.00
citalopram	8220P	TX	0.00
irbesartan	8246B	AL	0.00
irbesartan	8246B	RF	0.00
irbesartan	8246B	EA	0.00
irbesartan	8246B	SZ	0.00
irbesartan	8246B	ED	0.00
irbesartan	8246B	GQ	0.00
irbesartan	8246B	TX	0.00
irbesartan	8246B	EF	0.00
irbesartan	8246B	IB	0.00
isosorbide mononitrate	8273K	IY	0.00
carbomer-980	5503P	PP	0.00
carbomer-980	5503P	UL	0.00
dextran-70 + hypromellose	5520M	IQ	0.00
clarithromycin	8318T	AF	0.00
clarithromycin	8318T	ED	0.00
clarithromycin	8318T	SZ	0.00
clarithromycin	8318T	RW	0.00
clarithromycin	8318T	EA	0.00
brimonidine	5534G	PE	0.00
rabeprazole	8507R	RW	0.00
rabeprazole	8507R	TX	0.00
rabeprazole	8507R	SZ	0.00
rabeprazole	8507R	EA	0.00
diltiazem	8480H	AV	0.00
diltiazem	8480H	SZ	0.00
exemestane	8506Q	SZ	0.00
exemestane	8506Q	TX	0.00
exemestane	8506Q	GQ	0.00
bisoprolol	8604W	DO	0.00
bisoprolol	8604W	EA	0.00
bisoprolol	8604W	RW	0.00
bisoprolol	8604W	AF	0.00
bisoprolol	8604W	TX	0.00
bisoprolol	8604W	GQ	0.00
bisoprolol	8604W	SZ	0.00
esomeprazole	8886Q	RF	0.00
esomeprazole	8886Q	SZ	0.00
esomeprazole	8886Q	GQ	0.00
esomeprazole	8886Q	RA	0.00
esomeprazole	8886Q	RW	0.00
esomeprazole	8886Q	HX	0.00
esomeprazole	8886Q	AF	0.00
esomeprazole	8886Q	TX	0.00
candesartan	8889W	TX	0.00
candesartan	8889W	RF	0.00
candesartan	8889W	GQ	0.00
candesartan	8889W	RW	0.00
candesartan	8889W	AF	0.00
candesartan	8889W	IB	0.00
candesartan	8889W	EA	0.00
candesartan	8889W	SZ	0.00
bisoprolol	8605X	GQ	0.00
bisoprolol	8605X	DO	0.00
bisoprolol	8605X	TX	0.00
bisoprolol	8605X	SZ	0.00
bisoprolol	8605X	RW	0.00
bisoprolol	8605X	AF	0.00
bisoprolol	8605X	EA	0.00
methylphenidate	8839F	NM	0.00
sertraline	8836C	VO	0.00
sertraline	8836C	DO	0.00
sertraline	8836C	AF	0.00
sertraline	8836C	EA	0.00
donepezil	8496E	EA	0.00
donepezil	8496E	RF	0.00
donepezil	8496E	RW	0.00
donepezil	8496E	TX	0.00
donepezil	8496E	RZ	0.00
donepezil	8496E	SZ	0.00
donepezil	8496E	AF	0.00
donepezil	8496E	HQ	0.00
meloxicam	8562P	RF	0.00
meloxicam	8562P	GQ	0.00
meloxicam	8562P	ED	0.00
meloxicam	8562P	RW	0.00
meloxicam	8562P	TY	0.00
meloxicam	8562P	DO	0.00
meloxicam	8562P	EA	0.00
meloxicam	8562P	CR	0.00
meloxicam	8562P	SZ	0.00
meloxicam	8562P	LR	0.00
meloxicam	8562P	AF	0.00
meloxicam	8562P	TX	0.00
sertraline	8837D	DO	0.00
sertraline	8837D	VO	0.00
sertraline	8837D	EA	0.00
sertraline	8837D	AF	0.00
candesartan + hydrochlorothiazide	8504N	DO	0.00
candesartan + hydrochlorothiazide	8504N	SZ	0.00
candesartan + hydrochlorothiazide	8504N	IB	0.00
candesartan + hydrochlorothiazide	8504N	TX	0.00
candesartan + hydrochlorothiazide	8504N	AF	0.00
candesartan + hydrochlorothiazide	8504N	GQ	0.00
candesartan + hydrochlorothiazide	8504N	RF	0.00
candesartan + hydrochlorothiazide	8504N	RW	0.00
candesartan + hydrochlorothiazide	8504N	EA	0.00
telmisartan + hydrochlorothiazide	8623W	EA	0.00
telmisartan + hydrochlorothiazide	8623W	AF	0.00
telmisartan + hydrochlorothiazide	8623W	GQ	0.00
telmisartan + hydrochlorothiazide	8623W	TX	0.00
telmisartan + hydrochlorothiazide	8623W	SZ	0.00
telmisartan + hydrochlorothiazide	8623W	RW	0.00
mirtazapine	8513C	EA	0.00
mirtazapine	8513C	TX	0.00
mirtazapine	8513C	AF	0.00
mirtazapine	8513C	RW	0.00
mirtazapine	8513C	RF	0.00
mirtazapine	8513C	SZ	0.00
fluticasone propionate + salmeterol	8519J	SZ	0.00
fluticasone propionate + salmeterol	8519J	LR	0.00
fluticasone propionate + salmeterol	8519J	GC	0.00
fluticasone propionate + salmeterol	8519J	YC	0.00
indapamide	8532C	EA	0.00
indapamide	8532C	AF	0.00
indapamide	8532C	RW	0.00
indapamide	8532C	TX	0.00
pravastatin	8829Q	RF	0.00
pravastatin	8829Q	EA	0.00
pravastatin	8829Q	TX	0.00
pravastatin	8829Q	SZ	0.00
pravastatin	8829Q	GQ	0.00
meloxicam	8561N	CR	0.00
meloxicam	8561N	SZ	0.00
meloxicam	8561N	LR	0.00
meloxicam	8561N	RF	0.00
meloxicam	8561N	AF	0.00
meloxicam	8561N	TX	0.00
meloxicam	8561N	RW	0.00
meloxicam	8561N	ED	0.00
meloxicam	8561N	TY	0.00
meloxicam	8561N	EA	0.00
meloxicam	8561N	GQ	0.00
meloxicam	8561N	DO	0.00
rabeprazole	8508T	AF	0.00
rabeprazole	8508T	RW	0.00
rabeprazole	8508T	TX	0.00
rabeprazole	8508T	RN	0.00
rabeprazole	8508T	AL	0.00
rabeprazole	8508T	SZ	0.00
rabeprazole	8508T	EA	0.00
lercanidipine	8679T	JB	0.00
lercanidipine	8679T	RW	0.00
lercanidipine	8679T	SZ	0.00
lercanidipine	8679T	GX	0.00
lercanidipine	8679T	AL	0.00
lercanidipine	8679T	EA	0.00
fluvoxamine	8512B	RW	0.00
fluvoxamine	8512B	AL	0.00
fluvoxamine	8512B	EA	0.00
fluvoxamine	8512B	ED	0.00
fluvoxamine	8512B	TX	0.00
dorzolamide + timolol	8567X	AF	0.00
dorzolamide + timolol	8567X	TX	0.00
meloxicam	8888T	TX	0.00
meloxicam	8888T	CH	0.00
meloxicam	8888T	AF	0.00
meloxicam	8888T	RW	0.00
meloxicam	8888T	RF	0.00
meloxicam	8888T	SZ	0.00
meloxicam	8888T	TW	0.00
tramadol	8525Q	TX	0.00
tramadol	8525Q	RW	0.00
tramadol	8525Q	AL	0.00
tramadol	8525Q	SZ	0.00
tramadol	8525Q	GQ	0.00
tramadol	8525Q	EA	0.00
glimepiride	8533D	RW	0.00
glimepiride	8533D	AF	0.00
glimepiride	8533D	GX	0.00
glimepiride	8533D	SZ	0.00
glimepiride	8533D	AV	0.00
glimepiride	8533D	EA	0.00
glimepiride	8533D	TX	0.00
telmisartan + hydrochlorothiazide	8622T	GQ	0.00
telmisartan + hydrochlorothiazide	8622T	EA	0.00
telmisartan + hydrochlorothiazide	8622T	TX	0.00
telmisartan + hydrochlorothiazide	8622T	AF	0.00
telmisartan + hydrochlorothiazide	8622T	SZ	0.00
telmisartan + hydrochlorothiazide	8622T	RW	0.00
trandolapril	8758Y	RW	0.00
trandolapril	8758Y	AF	0.00
enalapril + hydrochlorothiazide	8477E	SZ	0.00
quetiapine	8580N	TX	0.00
quetiapine	8580N	ED	0.00
quetiapine	8580N	GQ	0.00
quetiapine	8580N	ER	0.00
quetiapine	8580N	EA	0.00
quetiapine	8580N	AF	0.00
quetiapine	8580N	GX	0.00
quetiapine	8580N	RW	0.00
quetiapine	8580N	CR	0.00
quetiapine	8580N	HX	0.00
quetiapine	8580N	RZ	0.00
quetiapine	8580N	SZ	0.00
quetiapine	8580N	RA	0.00
ezetimibe	8757X	GQ	0.00
ezetimibe	8757X	TX	0.00
ezetimibe	8757X	IB	0.00
ezetimibe	8757X	RW	0.00
ezetimibe	8757X	CR	0.00
ezetimibe	8757X	SZ	0.00
ezetimibe	8757X	AF	0.00
metformin	8607B	HX	0.00
metformin	8607B	TX	0.00
metformin	8607B	AF	0.00
metformin	8607B	HQ	0.00
metformin	8607B	EA	0.00
metformin	8607B	SZ	0.00
metformin	8607B	RW	0.00
metformin	8607B	TY	0.00
metformin	8607B	DO	0.00
tramadol	8523N	SZ	0.00
tramadol	8523N	EA	0.00
tramadol	8523N	TX	0.00
tramadol	8523N	GQ	0.00
tramadol	8523N	AL	0.00
tramadol	8523N	RW	0.00
donepezil	8495D	TX	0.00
donepezil	8495D	EA	0.00
donepezil	8495D	HQ	0.00
donepezil	8495D	RF	0.00
donepezil	8495D	SZ	0.00
donepezil	8495D	AF	0.00
donepezil	8495D	RZ	0.00
donepezil	8495D	RW	0.00
meloxicam	8887R	RF	0.00
meloxicam	8887R	SZ	0.00
meloxicam	8887R	CH	0.00
meloxicam	8887R	AF	0.00
meloxicam	8887R	TW	0.00
meloxicam	8887R	RW	0.00
meloxicam	8887R	TX	0.00
escitalopram	8701Y	HQ	0.00
escitalopram	8701Y	ER	0.00
escitalopram	8701Y	TX	0.00
escitalopram	8701Y	RW	0.00
escitalopram	8701Y	CF	0.00
escitalopram	8701Y	HX	0.00
escitalopram	8701Y	IB	0.00
escitalopram	8701Y	AF	0.00
escitalopram	8701Y	EA	0.00
rabeprazole	8509W	AF	0.00
rabeprazole	8509W	RN	0.00
rabeprazole	8509W	TX	0.00
rabeprazole	8509W	AL	0.00
rabeprazole	8509W	EA	0.00
rabeprazole	8509W	SZ	0.00
rabeprazole	8509W	RW	0.00
bisoprolol	8606Y	GQ	0.00
bisoprolol	8606Y	DO	0.00
bisoprolol	8606Y	SZ	0.00
bisoprolol	8606Y	RW	0.00
bisoprolol	8606Y	TX	0.00
bisoprolol	8606Y	AF	0.00
bisoprolol	8606Y	EA	0.00
brinzolamide	8483L	NM	0.00
fluticasone propionate + salmeterol	8518H	LR	0.00
fluticasone propionate + salmeterol	8518H	GC	0.00
fluticasone propionate + salmeterol	8518H	YC	0.00
fluticasone propionate + salmeterol	8518H	SZ	0.00
escitalopram	8700X	TX	0.00
escitalopram	8700X	EA	0.00
escitalopram	8700X	CF	0.00
escitalopram	8700X	HQ	0.00
escitalopram	8700X	IB	0.00
escitalopram	8700X	RW	0.00
escitalopram	8700X	AF	0.00
escitalopram	8700X	HX	0.00
escitalopram	8700X	ER	0.00
hypromellose + carbomer-980	8564R	IQ	0.00
esomeprazole	8601Q	RW	0.00
esomeprazole	8601Q	HX	0.00
esomeprazole	8601Q	AF	0.00
esomeprazole	8601Q	TX	0.00
esomeprazole	8601Q	SZ	0.00
esomeprazole	8601Q	RF	0.00
esomeprazole	8601Q	RA	0.00
esomeprazole	8601Q	GQ	0.00
esomeprazole	8600P	TX	0.00
esomeprazole	8600P	HX	0.00
esomeprazole	8600P	RA	0.00
esomeprazole	8600P	AF	0.00
esomeprazole	8600P	GQ	0.00
esomeprazole	8600P	SZ	0.00
esomeprazole	8600P	RF	0.00
esomeprazole	8600P	RW	0.00
perindopril	8704D	RW	0.00
perindopril	8704D	TY	0.00
perindopril	8704D	IB	0.00
perindopril	8704D	ED	0.00
perindopril	8704D	SZ	0.00
perindopril	8704D	GQ	0.00
perindopril	8704D	AF	0.00
perindopril	8704D	JB	0.00
perindopril	8704D	EF	0.00
perindopril	8704D	TX	0.00
lercanidipine	8534E	JB	0.00
lercanidipine	8534E	SZ	0.00
lercanidipine	8534E	AL	0.00
lercanidipine	8534E	EA	0.00
lercanidipine	8534E	RW	0.00
lercanidipine	8534E	GX	0.00
amoxicillin	8581P	BG	0.00
tramadol	8524P	SZ	0.00
tramadol	8524P	RW	0.00
tramadol	8524P	GQ	0.00
tramadol	8524P	TX	0.00
tramadol	8524P	AL	0.00
tramadol	8524P	EA	0.00
carbomer-980	9210R	PP	0.00
carbomer-980	9210R	UL	0.00
doxycycline	9106G	TX	0.00
doxycycline	9106G	HX	0.00
doxycycline	9106G	RW	0.00
telmisartan + amlodipine	8979N	FI	0.00
doxycycline	9108J	HX	0.00
quetiapine	9204K	TY	0.00
quetiapine	9204K	SZ	0.00
quetiapine	9204K	RW	0.00
quetiapine	9204K	TX	0.00
quetiapine	9204K	RF	0.00
quetiapine	9204K	OW	0.00
simvastatin	9244M	AF	0.00
simvastatin	9244M	SZ	0.00
simvastatin	9244M	GQ	0.00
simvastatin	9244M	RW	0.00
simvastatin	9244M	EA	0.00
simvastatin	9244M	TX	0.00
amlodipine + valsartan	9375K	NM	0.00
sulfasalazine	9209Q	FZ	0.00
quetiapine	9202H	TX	0.00
